,countryid,country
0,1,Spain
1,2,Italy
2,3,Portugal
3,4,France
4,5,US
5,6,Austria
6,7,Germany
7,8,South Africa
8,9,Hungary
9,10,Australia
10,11,Canada
11,12,Israel
12,13,Chile
13,14,New Zealand
14,15,Lebanon
15,16,Romania
16,17,Greece
17,18,Argentina
18,19,Slovenia
19,20,Croatia
20,21,Bulgaria
21,22,Moldova
22,23,Brazil
23,24,Uruguay
24,25,Macedonia
25,26,Georgia
26,27,Turkey
27,28,Mexico
28,29,Peru
29,30,Serbia
30,31,England
31,32,Czech Republic
32,33,Morocco
33,34,Switzerland
34,35,Ukraine
35,36,Luxembourg
36,37,India
