Wine Type,Food Category,Pairing Rank
Bold Red,Hard Cheese,good
Bold Red,Pungent Cheese,okay
Bold Red,Black Pepper,good
Bold Red,Red Pepper,okay
Bold Red,Pork,okay
Bold Red,Red Meat,good
Bold Red,Cured Meat,okay
Bold Red,Smoked,okay
Bold Red,Grilled or Barbecued,good
Bold Red,Roasted,good
Bold Red,Potato,okay
Bold Red,White Starches,okay
Bold Red,Alliums,okay
Bold Red,Night Shades,okay
Bold Red,Fungi,okay
Medium Red,Hard Cheese,okay
Medium Red,Pungent Cheese,good
Medium Red,Soft Cheese and Cream,okay
Medium Red,Herbs,okay
Medium Red,Baking Spices,okay
Medium Red,Black Pepper,okay
Medium Red,Aromatic Spices,good
Medium Red,Red Pepper,good
Medium Red,Pork,good
Medium Red,Poultry,okay
Medium Red,Red Meat,okay
Medium Red,Cured Meat,okay
Medium Red,Smoked,good
Medium Red,Grilled or Barbecued,okay
Medium Red,Roasted,okay
Medium Red,Potato,okay
Medium Red,White Starches,okay
Medium Red,Beans and Peas,okay
Medium Red,Alliums,good
Medium Red,Night Shades,good
Medium Red,Fungi,good
Rich White,Hard Cheese,okay
Rich White,Soft Cheese and Cream,good
Rich White,Herbs,okay
Rich White,Fish,okay
Rich White,Poultry,good
Rich White,Shellfish,good
Rich White,Sauteed or Fried,okay
Rich White,Poached or Steamed,okay
Rich White,Potato,okay
Rich White,Whole Wheat Grains,okay
Rich White,White Starches,okay
Rich White,Root Vegetables,okay
Rich White,Nuts and Seeds,okay
Rich White,Alliums,okay
Rich White,Fungi,good
Rose,Hard Cheese,okay
Rose,Pungent Cheese,okay
Rose,Soft Cheese and Cream,okay
Rose,Herbs,okay
Rose,Baking Spices,okay
Rose,Aromatic Spices,okay
Rose,Red Pepper,okay
Rose,Pork,okay
Rose,Poultry,okay
Rose,Shellfish,okay
Rose,Cured Meat,okay
Rose,Sauteed or Fried,okay
Rose,Smoked,okay
Rose,Roasted,okay
Rose,Potato,okay
Rose,Sweet Starchy Vegetable,okay
Rose,Whole Wheat Grains,okay
Rose,White Starches,okay
Rose,Beans and Peas,okay
Rose,Root Vegetables,good
Rose,Nuts and Seeds,okay
Rose,Alliums,okay
Rose,Night Shades,okay
Sparkling,Hard Cheese,okay
Sparkling,Pungent Cheese,okay
Sparkling,Soft Cheese and Cream,okay
Sparkling,Spicy,okay
Sparkling,Aromatic Spices,okay
Sparkling,Red Pepper,good
Sparkling,Pork,okay
Sparkling,Fish,okay
Sparkling,Poultry,okay
Sparkling,Cured Meat,okay
Sparkling,Sauteed or Fried,okay
Sparkling,Smoked,okay
Sparkling,Grilled or Barbecued,okay
Sparkling,Poached or Steamed,okay
Sparkling,Potato,okay
Sparkling,White Starches,okay
Sparkling,Fruit,okay
Sparkling,Green Vegetables,okay
Sparkling,Beans and Peas,okay
Sparkling,Nuts and Seeds,okay
Sparkling,Alliums,okay
Dessert,Pungent Cheese,good
Dessert,Soft Cheese and Cream,okay
Dessert,Baking Spices,good
Dessert,Cured Meat,okay
Dessert,Smoked,okay
Dessert,White Starches,okay
Dessert,Vanilla and Caramel,okay
Dessert,Fruit,okay
Dessert,Chocolate and Coffee,good
Light White,Pungent Cheese,okay
Light White,Soft Cheese and Cream,okay
Light White,Herbs,good
Light White,Spicy,okay
Light White,Red Pepper,okay
Light White,Mollusk,okay
Light White,Fish,good
Light White,Poultry,okay
Light White,Shellfish,okay
Light White,Sauteed or Fried,okay
Light White,Poached or Steamed,good
Light White,Potato,okay
Light White,White Starches,okay
Light White,Green Vegetables,good
Light White,Beans and Peas,good
Light White,Nuts and Seeds,okay
Light White,Alliums,okay
Sweet White,Pungent Cheese,okay
Sweet White,Soft Cheese and Cream,okay
Sweet White,Baking Spices,okay
Sweet White,Spicy,good
Sweet White,Aromatic Spices,good
Sweet White,Red Pepper,okay
Sweet White,Shellfish,okay
Sweet White,Cured Meat,good
Sweet White,Grilled or Barbecued,okay
Sweet White,Poached or Steamed,okay
Sweet White,Roasted,okay
Sweet White,Potato,okay
Sweet White,Sweet Starchy Vegetable,good
Sweet White,Whole Wheat Grains,good
Sweet White,White Starches,okay
Sweet White,Vanilla and Caramel,okay
Sweet White,Fruit,good
Sweet White,Root Vegetables,okay
Sweet White,Nuts and Seeds,good
Sweet White,Alliums,okay
Sweet White,Night Shades,okay
Light Red,Soft Cheese and Cream,good
Light Red,Herbs,okay
Light Red,Aromatic Spices,okay
Light Red,Poultry,good
Light Red,Cured Meat,good
Light Red,Sauteed or Fried,good
Light Red,Smoked,okay
Light Red,Grilled or Barbecued,okay
Light Red,Roasted,okay
Light Red,Potato,okay
Light Red,Whole Wheat Grains,okay
Light Red,White Starches,okay
Light Red,Nuts and Seeds,okay
Light Red,Alliums,okay
Light Red,Fungi,good
